chunk_id,document_id,document_title,chunk_type,heading_bucket,score
37171,1872,胶结面缺陷对堆石混凝土宏观力学性能影响研究,text,__stage31_parent__:18:1 crD f > Page 32,218
37173,1872,胶结面缺陷对堆石混凝土宏观力学性能影响研究,text,__stage31_parent__:20:3 自密实缺陷对堆石混凝土力学性能影响研究 > Page 37,218
24535,1579,基于贵州地区的堆石混凝土尺寸效应及标准值研究,text,__stage31_parent__:13:ABSTRACT > Page 15,217
24968,1587,堆石混凝土在某高坝上的应用研究与抗震分析,text,__stage31_parent__:37:1 arctan b > Page 67,217
37939,1898,Liu 等 - 2024 - Study on the effect of porosity and aperture on the damage characterization of rock-filled concrete,text,__stage31_parent__:16:Page 1 > Page 8,217
16720,1600,堆石混凝土渐进破坏细观机理研究,text,ABSTRACT > Page 56,216
23877,1509,无损检测方法在大尺寸堆石混凝土试验仓强度检测中的应用研究 (1),text,__stage31_parent__:8:3 超声回弹综合法试验结果与分析 > Page 6,216
23893,1510,无损检测方法在大尺寸堆石混凝土试验仓强度检测中的应用研究,text,__stage31_parent__:8:3 超声回弹综合法试验结果与分析 > Page 6,216
24082,1542,考虑分层填充的非均质堆石混凝土温度研究,text,__stage31_parent__:6:1 非均质堆石混凝土仿真模型 > Page 4,216
24734,1582,堆石混凝土三维有限元随机仿真模型的研究,text,__stage31_parent__:53:set environ > Page 95,216
36821,1864,深度学习框架下的堆石混凝土缺陷重建与强度特性分析,text,__stage31_parent__:6:ABSTRACT > Page 7,216
38439,1946,"堆石混凝土( rock-filled concrete, RFC) 是利用自密实混凝土( self-compacting concrete, SCC) 的高流动、",text,2 结果与讨论,216
21804,1159,Experimental Research on the Properties of Rock-Filled Concrete,text,__stage31_parent__:40:Page 1 > Page 11,215
26794,1677,Rock-Filled Concrete with Manufactured Sand,text,__stage31_parent__:39:Abstract > 7.6 Engineering Application of RFC with MS > 7.6.3 Evaluation of Fresh and Hardened Properties of On-Site RFC with MS > 7.6.3.3,215
40950,2180,"堆石混凝土(rock-filled concrete,RFC)是将",text,0 引言,215
9917,1235,Mesoscopic thermal field reconstruction and parametrical studies of heterogeneous rock-filled concrete at early age,text,Mesoscopic thermal field reconstruction and parametrical studies of heterogeneous rock-filled concrete at early age > Abstract,214
14112,1576,基于某实际工程的堆石混凝土力学性能的试验研究,text,0 序号 fcu.i > Page 48,214
14312,1579,基于贵州地区的堆石混凝土尺寸效应及标准值研究,text,ABSTRACT > Page 12 > 1.2.2 RFC 力学性能研究现状,214
14358,1579,基于贵州地区的堆石混凝土尺寸效应及标准值研究,text,6 专用外加剂 型号 HSHG-T - > Page 51,214
14397,1579,基于贵州地区的堆石混凝土尺寸效应及标准值研究,text,6 专用外加剂 型号 HSHG-T - > Page 90,214
15159,1587,堆石混凝土在某高坝上的应用研究与抗震分析,text,ABSTRACT > Page 39,214
15161,1587,堆石混凝土在某高坝上的应用研究与抗震分析,text,ABSTRACT > Page 42,214
15383,1588,堆石混凝土填充性能及界面破坏特性研究,text,Abstract > Page 174,214
15474,1589,堆石混凝土大坝施工缝层间强度研究,text,2 RFC 试样制备及试验方案 > Page 20,214
16005,1594,堆石混凝土强度性能及冻融耐久性的研究,text,ABSTRACT > Page 13,214
16024,1594,堆石混凝土强度性能及冻融耐久性的研究,text,二、非线性效应 > Page 31,214
18755,1675,Other Rock-Filled Concrete Related Technologies,text,Abstract > 9.1 Riprap Rock-Filled Concrete and Vibrated Rock-Filled Concrete > 9.1.1 Backfill of Caissons in the Xiangjiaba Hydropower Station Project,214
28783,1803,基于内聚力模型的堆石混凝土层间界面剪切力学性能研究,text,ABSTRACT > Page 21,214
31387,1852,早龄期堆石混凝土骨胶界面剪切强度发展规律及机理研究,text,ABSTRACT > Page 18 > 1.2.2 混凝土界面强度发展规律研究,214
31388,1852,早龄期堆石混凝土骨胶界面剪切强度发展规律及机理研究,text,ABSTRACT > Page 19,214
31645,1854,某实际工程堆石混凝土的力学性能及抗渗研究,text,ABSTRACT > 3.1 A 工程,214
31837,1856,柔性网对堆石混凝土坝面层一体化浇筑的影响研究,text,8 J 型环 > 3.2 外加剂掺量对 SCC 流变性和工作性的影响,214
24150,1551,自密实堆石混凝土在恒山水库除险加固工程中的应用,text,__stage31_parent__:0:Page 1,213
25802,1602,堆石混凝土热学性能试验与温度应力研究,text,__stage31_parent__:12:Abstract > 1.4 堆石混凝土简介,213
37212,1878,自密实堆石混凝土重力坝施工关键技术研究与实践,text,__stage31_parent__:1:1 原材料选择,213
23348,1422,堆石混凝土技术在筑坝工程中的创新应用与发展趋势,text,__stage31_parent__:0:Page 1,212
39200,1993,"堆石混凝土 (rock-filled concrete, RFC)",text,1 RFC 宏细观力学性能研究方法 > 1.2 细观表征技术,212
15463,1589,堆石混凝土大坝施工缝层间强度研究,text,1 绪论 > Page 11,210
16257,1596,堆石混凝土抗压强度的尺寸效应研究,text,1 crD f > Page 22,210
21821,1160,Filling Capacity Evaluation of Self-Compacting Concrete in Rock-Filled Concrete,text,__stage31_parent__:6:Page 1 > Page 3,210
28952,1805,基于正交各向异性本构的堆石混凝土胶结面强度研究,text,1 sin > 4.6 不同岩石角度的 RFC 单轴压缩数值模拟 > 4.6.1 强度各向异性胶结面的 RFC 数值模型,210
36463,1854,某实际工程堆石混凝土的力学性能及抗渗研究,text,__stage31_parent__:28:9 最大压力未压坏 > Page 46,210
39196,1993,"堆石混凝土 (rock-filled concrete, RFC)",text,Page 1 > Page 2,210
39821,2063,"土(Rock-Filled Concrete, RFC)是我国自主研发的新型筑坝",text,0 引言,210
39822,2063,"土(Rock-Filled Concrete, RFC)是我国自主研发的新型筑坝",text,0 引言,210
39830,2063,"土(Rock-Filled Concrete, RFC)是我国自主研发的新型筑坝",text,2 施工期混凝土内部温度监测结果分析 > Page 5,210
39921,2069,"堆石混凝土( Rock-Filled Concrete,RFC)筑坝技术",text,2 温度监测方案 > Page 4,210
39937,2070,"rock-filled concrete, RFC",text,1 RFC > Page 4,210
12098,1430,堆石混凝土技术碳减排效益评价,text,1 国内外研究现状 > 1.2 堆石混凝土循环利用废弃材料原理,209
15109,1587,堆石混凝土在某高坝上的应用研究与抗震分析,text,Page 1,209
33791,1887,通仓浇筑堆石混凝土拱坝的温度过程分析,text,摘 要,209
11729,1391,堆石混凝土坝的内部结构,text,Page 1,208
24963,1587,堆石混凝土在某高坝上的应用研究与抗震分析,text,__stage31_parent__:32:RFCf ERFC > Page 54,208
25206,1591,堆石混凝土层间抗剪性能及其破坏机理研究,text,__stage31_parent__:21:ABSTRACT > Page 26 > 2.1.5 堆石,208
25532,1596,堆石混凝土抗压强度的尺寸效应研究,text,__stage31_parent__:44:参考文献 > Page 83,208
28818,1803,基于内聚力模型的堆石混凝土层间界面剪切力学性能研究,text,ABSTRACT > Page 64,208
33287,1882,自密实混凝土填充性能及堆石混凝土界面微观特性研究,text,Abstract > Page 8,208
33710,1886,贵州地区堆石混凝土界面的微观及破坏机理分析,text,6 外加剂 堆石混凝土专用外加剂 北京华石纳固科技有限公司 > Page 34,208
36483,1854,某实际工程堆石混凝土的力学性能及抗渗研究,text,__stage31_parent__:48:9 最大压力未压坏 > Page 90,208
18858,1677,Rock-Filled Concrete with Manufactured Sand,text,Abstract > 7.4 Mix Design of Superfluid SCC with MS > 7.4.3 Optimization of Mix Proportion of Superfluid SCC with MS > 7.4.3.1 Adjustment of Initial Mix Proport,207
21856,1161,A Brief Review of Rock-Filled Concrete Dams and Prospects for Next-Generation Concrete Dam Construction Technology,text,__stage31_parent__:7:Page 1 > Page 2,207
23574,1462,堆石混凝土用自密实混凝土原材料及配合比研究,text,__stage31_parent__:1:2 堆石混凝土用自密实混凝土原材料 > Page 2,207
