chunk_id,document_id,source_image_path,status,caption,caption_page_num,error
33869,19,data/images/19/page10_img1.png,captioned,Fig. 12. Stress–strain curves at different loading rates.,10,
33870,19,data/images/19/page10_img2.png,captioned,Fig. 11. Compression damage distribution cloud for different mesh sizes.,10,
33871,19,data/images/19/page11_img1.png,captioned,Fig. 14. Simulation results of uniaxial compression of cut pieces: (a) elastic modulus; (b) uniaxial compressive strength.,11,
33872,19,data/images/19/page11_img2.png,captioned,Fig. 13. Stress–strain curves at different friction coefficients.,11,
33873,19,data/images/19/page12_img1.png,captioned,"Fig. 15. DAMAGEC results (a) overall DAMAGEC, (b) localized DAMAGEC, (c) aggregate DAMAGEC.",12,
33874,19,data/images/19/page13_img1.png,captioned,"Fig. 16. Simulation results under varying ITZ properties: (a) stress–strain curves, (b) trends in elastic modulus and uniaxial compressive strength.",13,
33875,19,data/images/19/page14_img1.png,captioned,Fig. 18. Simulated results of DAMAGEC and DAMAGET of ITZ: (a)None-damage ITZ; (b) DAMAGEC of ITZ; (c) DAMAGET of ITZ.,14,
33876,19,data/images/19/page14_img2.png,captioned,"Fig. 17. Schematic illustration: (a) internal structure of RFC, (b) internal structure of conventional concrete.",14,
33877,19,data/images/19/page15_img1.png,captioned,Fig. 19. Evolution of ITZ DAMAGET under different ITZ conditions.,15,
33878,19,data/images/19/page16_img1.png,captioned,"Fig. 20. Simulation results of RFC under varying aggregate properties: (a) stress–strain curves, (b) trends in elastic modulus and uniaxial compressive strength.",16,
33879,19,data/images/19/page17_img1.png,captioned,Fig. 21. Evolution of RFC DAMAGEC under different aggregate properties.,17,
33880,19,data/images/19/page18_img1.png,captioned,"Fig. 23. Simulation results for different levels of internal aggregate defects: (a) stress–strain curves, (b) trends in elastic modulus and uniaxial compressive strength.",18,
33881,19,data/images/19/page18_img2.png,captioned,Fig. 22. Modeling of internal aggregate porosity.,18,
33882,19,data/images/19/page19_img2.png,captioned,Fig. 24. Simulated DAMAGEC results under varying aggregate porosity levels.,19,
33859,19,data/images/19/page3_img1.png,captioned,Fig. 2. ACS and elastic modulus results of large RFC specimens.,3,
33860,19,data/images/19/page3_img2.png,captioned,Fig. 1. RFC Testing: (a) RFC test chamber; (b) large prismatic specimen sections; (c) uniaxial compression performance test.,3,
33861,19,data/images/19/page4_img1.png,captioned,Fig. 4. 26 Base coordinate points on the sphere.,4,
33862,19,data/images/19/page4_img2.png,captioned,Fig. 3. Typical failure modes of RFC prismatic specimens.,4,
33863,19,data/images/19/page5_img1.png,captioned,"Fig. 5. 3D stochastic irregular polyhedral aggregate modeling process: (a) irregular aggregate frame, (b) covering surface, (c) irregular aggregate model.",5,
33864,19,data/images/19/page6_img1.png,captioned,"Fig. 7. Numerical mesoscopic model of RFC containing three phases: aggregate, ITZ and SCC.",6,
33865,19,data/images/19/page6_img2.png,captioned,Fig. 6. Aggregate and ITZ.,6,
33866,19,data/images/19/page7_img1.png,captioned,Fig. 8. Cutting pieces.,7,
33867,19,data/images/19/page8_img1.png,captioned,"Fig. 9. RFC four-phase model with aggregates, ITZ, SCC and ACU.",8,
